ID,LOCATION,ADDRESS,LAT,LONG
LK537079,Reading Terminal #5,12th and Arch Street Philadelphia PA 19107,39.9539394,-75.1594308
LK636995,Reading Terminal #6,12th and Arch Street -  left of Reading Philadelphia PA 19107,39.9539394,-75.1594308
LK537053,Reading Terminal #3,12th and Arch Streets - by exit to Arch Street bac Philadelphia PA 19107,39.9539394,-75.1594308
LK537033,Reading Terminal #1,12th and Arch Streets - directly inside front door Philadelphia PA 19107,39.954019,-75.159428
LK552885,Reading Terminal #4.,12th and Arch Streets - in the dutch dining area n Philadelphia PA 19107,39.9559288,-75.1574567
LK552874,Reading Terminal #2,12th and Arch Streets - middle of dining area acro Philadelphia PA 19107,39.9547499,-75.1663723
83730760,Shree Shakti Inc dba Sweet Mart,13 Causey Ave Milford DE 19963,38.9118207,-75.4304555
83730422,Salon By  Dominic,130 Lantana Drive Hockessin DE 19707,39.7728096,-75.7098138
83730637,Shoprite at Brandywine Commons #558,1300 Rocky Run Parkway Wilmington DE 19803,39.8249229,-75.548322
83730465,Liquormart Inc,1301 Vandever Ave Wilmington DE 19802,39.7454383,-75.530354
83730432,Wilmington Lodge #307 BPOE,1310 Carruthers Lane Wilmington DE 19803,39.7692332,-75.5368818
,Flourtown Banking Office,1311 Bethlehem Pike Flourtown PA 19031,40.1019679,-75.2132187
N1080680,Walgreen's - Union Street #11070,1313 North Union Street Wilmington DE 19806,39.7575121,-75.5681327
N1080683,Walgreen's - Milltown Shopping Center #11005,1323 McKennans Church Road Wilmington DE 19808,39.7322948,-75.6668561
83730510,Heritages #13,1327 Cooper Street Deptford NJ 08096,39.8243782,-75.1142438
83730210,Millcreek Valero,1327 McKennnans Church Road Wilmington DE 19808,39.7319459,-75.6672197
P328481,LA CONS PHARMACY,1336 Powell St Norristown PA 19401,40.1239107,-75.335524
P328582,UCC #3 - OREGON AVENUE,1339 W Oregon Ave Philadelphia PA 19148,39.9169306,-75.170716
P328377,BOYARS MARKET 1,1340 Asbury Ave Ocean City NJ 08226,39.2740278,-74.5831476
P328356,BAGELS And BEYOND 2,1340 NJ-72 Stafford Township NJ 08050,39.725385,-74.2895225
,Bala Cynwyd Banking Office,135 East City Ave. Bala Cynwyd PA 19004,40.0031916,-75.2222928
P328440,G LODGE RESTAURANT,1371 Valley Forge Rd Phoenixville PA 19460,40.1133099,-75.4823755
P333316,PAYLESS LIQUOR,14 Renaissance Plaza Atlantic City NJ 08401,39.3624647,-74.430537
P328602,WARMDADDYs,1400 S Christopher Columbus Blvd Philadelphia PA 19147,39.9293522,-75.1454738
N1080667,Walgreen's - Wilmington Manor #11009,1401 Dupont Highway New Castle DE 19720,39.6895453,-75.5830009
83730441,Northeast Liberty Gas,1401 Northeast Blvd Wilmington DE 19802,39.7453579,-75.5336066
P328361,BEER WORLD,1409 Easton Rd Roslyn PA 19001,40.1293299,-75.1282227
P328473,KEYSTONE PUB WHITEHALL,1410 Grape St Whitehall PA 18052,40.6324652,-75.4838617
,Fox Chase Banking Office,1411 Rhawn Street Philadelphia PA 19111,40.0682788,-75.0658339
P328540,READING LIEDERKRANZ,143 Spook Ln Reading PA 19606,40.3389366,-75.892108
P423524,XO LOUNGE,1439 South St Philadelphia PA 19146,39.944025,-75.166676
,Airport Plaza Banking Office,144 North DuPont Hwy New Castle DE 19720,39.6717592,-75.5975523
,Delaware City Banking Office ,145 Clinton Street Delaware City DE 19706,39.5763663,-75.5907315
83730385,Luk Oil - Garuda/West Chester,1457 Pottstown Pike West Chester PA 19380,40.0099934,-75.6154662
83730627,Priority Plus FCU,147 Quigley Boulevard New Castle DE 19720,39.6607499,-75.5993484
,Tabernacle Banking Office,1484 Route 206 Tabernacle NJ 08088,39.8472641,-74.7338669
,West Dover Banking Office ,1486 Forrest Avenue Dover DE 19904,39.1584195,-75.5601024
N1080652,Walgreen's - University Plaza #11003,15 University Plaza Newark DE 19702,39.6667631,-75.6711785
P327828,BRT - #150,150 Radnor Chester Rd Radnor PA 19087,40.0430349,-75.3658121
83730518,Heritages #22,1504 Hurffville Road/Rt. 41 Deptford NJ 08096,39.8084068,-75.0942616
N1080653,Walgreen's - Claymont #11032,1508 Philadelphia Pike Claymont DE 19703,39.7840876,-75.4783937
P328605,WHITPAIN TAVERN,1529 Dekalb Pike Blue Bell PA 19422,40.1544072,-75.3035458
83730720,Lana Nails,155 N DuPont Hwy Dover DE 19901,39.1672233,-75.5163427
,Willow Grove Banking Office,155 York Road Willow Grove PA 19090,40.1445358,-75.116046
83730744,South DuPont Liquors,157 S DuPont Hwy New Castle DE 19720,39.6597785,-75.6112957
,Eddystone Banking Office,1571 Chester Pike Eddystone PA 19022,39.8661801,-75.3414468
